Ticker
AAPL
MSFT
JPM
JNJ
XOM
BAC
WFC
WMT
UNH
CVX
ATT
PFE
ADBE
MCD
MDT
MMM
HON
GE
ABT
MO
UNP
TXN
RTX
LLY
KO
PG
PEP
GOOGL
VZ
BA
GS
